subject activity timeDomainBodyAccelerometerMeanX timeDomainBodyAccelerometerMeanY timeDomainBodyAccelerometerMeanZ timeDomainBodyAccelerometerStandardDeviationX timeDomainBodyAccelerometerStandardDeviationY timeDomainBodyAccelerometerStandardDeviationZ timeDomainGravityAccelerometerMeanX timeDomainGravityAccelerometerMeanY timeDomainGravityAccelerometerMeanZ timeDomainGravityAccelerometerStandardDeviationX timeDomainGravityAccelerometerStandardDeviationY timeDomainGravityAccelerometerStandardDeviationZ timeDomainBodyAccelerometerJerkMeanX timeDomainBodyAccelerometerJerkMeanY timeDomainBodyAccelerometerJerkMeanZ timeDomainBodyAccelerometerJerkStandardDeviationX timeDomainBodyAccelerometerJerkStandardDeviationY timeDomainBodyAccelerometerJerkStandardDeviationZ timeDomainBodyGyroscopeMeanX timeDomainBodyGyroscopeMeanY timeDomainBodyGyroscopeMeanZ timeDomainBodyGyroscopeStandardDeviationX timeDomainBodyGyroscopeStandardDeviationY timeDomainBodyGyroscopeStandardDeviationZ timeDomainBodyGyroscopeJerkMeanX timeDomainBodyGyroscopeJerkMeanY timeDomainBodyGyroscopeJerkMeanZ timeDomainBodyGyroscopeJerkStandardDeviationX timeDomainBodyGyroscopeJerkStandardDeviationY timeDomainBodyGyroscopeJerkStandardDeviationZ timeDomainBodyAccelerometerMagnitudeMean timeDomainBodyAccelerometerMagnitudeStandardDeviation timeDomainGravityAccelerometerMagnitudeMean timeDomainGravityAccelerometerMagnitudeStandardDeviation timeDomainBodyAccelerometerJerkMagnitudeMean timeDomainBodyAccelerometerJerkMagnitudeStandardDeviation timeDomainBodyGyroscopeMagnitudeMean timeDomainBodyGyroscopeMagnitudeStandardDeviation timeDomainBodyGyroscopeJerkMagnitudeMean timeDomainBodyGyroscopeJerkMagnitudeStandardDeviation frequencyDomainBodyAccelerometerMeanX frequencyDomainBodyAccelerometerMeanY frequencyDomainBodyAccelerometerMeanZ frequencyDomainBodyAccelerometerStandardDeviationX frequencyDomainBodyAccelerometerStandardDeviationY frequencyDomainBodyAccelerometerStandardDeviationZ frequencyDomainBodyAccelerometerMeanFrequencyX frequencyDomainBodyAccelerometerMeanFrequencyY frequencyDomainBodyAccelerometerMeanFrequencyZ frequencyDomainBodyAccelerometerJerkMeanX frequencyDomainBodyAccelerometerJerkMeanY frequencyDomainBodyAccelerometerJerkMeanZ frequencyDomainBodyAccelerometerJerkStandardDeviationX frequencyDomainBodyAccelerometerJerkStandardDeviationY frequencyDomainBodyAccelerometerJerkStandardDeviationZ frequencyDomainBodyAccelerometerJerkMeanFrequencyX frequencyDomainBodyAccelerometerJerkMeanFrequencyY frequencyDomainBodyAccelerometerJerkMeanFrequencyZ frequencyDomainBodyGyroscopeMeanX frequencyDomainBodyGyroscopeMeanY frequencyDomainBodyGyroscopeMeanZ frequencyDomainBodyGyroscopeStandardDeviationX frequencyDomainBodyGyroscopeStandardDeviationY frequencyDomainBodyGyroscopeStandardDeviationZ frequencyDomainBodyGyroscopeMeanFrequencyX frequencyDomainBodyGyroscopeMeanFrequencyY frequencyDomainBodyGyroscopeMeanFrequencyZ frequencyDomainBodyAccelerometerMagnitudeMean frequencyDomainBodyAccelerometerMagnitudeStandardDeviation frequencyDomainBodyAccelerometerMagnitudeMeanFrequency frequencyDomainBodyAccelerometerJerkMagnitudeMean frequencyDomainBodyAccelerometerJerkMagnitudeStandardDeviation frequencyDomainBodyAccelerometerJerkMagnitudeMeanFrequency frequencyDomainBodyGyroscopeMagnitudeMean frequencyDomainBodyGyroscopeMagnitudeStandardDeviation frequencyDomainBodyGyroscopeMagnitudeMeanFrequency frequencyDomainBodyGyroscopeJerkMagnitudeMean frequencyDomainBodyGyroscopeJerkMagnitudeStandardDeviation frequencyDomainBodyGyroscopeJerkMagnitudeMeanFrequency
1 NA -0.0182981725176081 -0.10784573454611 -0.545795331328326 -0.367716218227378 -0.502645746562824 -0.580162894375792 -0.0825562579855908 0.072339870389049 -0.959859435936599 -0.951150627458213 -0.925817590867435 -0.960843263371758 0.0165908438802305 -0.00910758730117003 -0.524721922818732 -0.470412403511239 -0.717322274881844 -0.518381597802306 -0.0880722729400576 0.0862641666597983 -0.686555715201729 -0.450979810499568 -0.597496136795101 -0.70103996425072 -0.0417164808293948 -0.0471393985477522 -0.637812687210375 -0.634472244550432 -0.664591977786455 -0.642637009504323 -0.497096402038329 -0.547872550685879 -0.497096402038329 -0.547872550685879 -0.515922167555159 -0.543385370018156 -0.499839593745821 -0.439586116879366 -0.652050770910663 -0.675544103054755 -0.406435448904438 -0.596411165253602 -0.553060616663401 -0.390150939647061 -0.498583091676081 -0.508875039010086 0.0576291646962536 0.0583692776609798 -0.188227152155043 -0.507343617969859 -0.695305113832853 -0.543979776127867 -0.466251676533372 -0.737861932680115 -0.454185006429395 -0.21527915818415 -0.0964496376997118 -0.326030587783141 -0.505309434070029 -0.553529065425648 -0.708263420861671 -0.429825832648703 -0.650476162132565 -0.63913522915562 -0.0901517235974063 -0.0180063943472334 -0.206139497907205 -0.589710231217867 -0.510312610176945 -0.419852460748703 -0.541823079570029 -0.498714609539481 -0.319888971925965 -0.566576670397695 -0.542978060682709 -0.205848254997406 -0.685811262634006 -0.649682311060519 -0.346915560054265
2 NA -0.0191323183174834 -0.115649958175497 -0.605586497159271 -0.428962986589404 -0.589360062210596 -0.639919016384106 -0.147219886910411 0.134865335090728 -0.963015508245033 -0.960033560165563 -0.945365383907285 -0.964058628278146 0.00708771249764901 0.000755760748377483 -0.557809603123841 -0.491875889831788 -0.741885388311258 -0.570367517489073 -0.0568420186817881 0.0872599422291391 -0.710648927815894 -0.722943674337748 -0.634888927843046 -0.714453179304636 -0.0433986835453642 -0.0557541828188742 -0.671679103311258 -0.783595466728477 -0.674611933293046 -0.687879361469205 -0.552812545643709 -0.627204257981358 -0.552812545643709 -0.627204257981358 -0.512115278415232 -0.544297072459768 -0.680584887880795 -0.654323214404305 -0.740088733655629 -0.759954726236755 -0.432566581302351 -0.630081222124834 -0.619788102803311 -0.464723862913245 -0.600678614835099 -0.572643078574503 0.105734176023146 0.087210586428 -0.21847583334155 -0.50890379901457 -0.715745330403973 -0.595105612895033 -0.509147543673841 -0.767087015496689 -0.498548018662914 -0.139776595362185 -0.0942651868218543 -0.42159299768106 -0.722068978635762 -0.601594889654305 -0.734588540182119 -0.72716774102649 -0.683114494539735 -0.67679108196755 -0.0702155008665563 0.0513627291214901 -0.229617201945364 -0.646662308457285 -0.567935952646358 -0.412168401405894 -0.518800797709272 -0.495991484958609 -0.279037812333808 -0.725310337688742 -0.708343122466887 -0.304666564887748 -0.744194981440397 -0.731555004732781 -0.244190453542848
3 NA -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.480015920697654 -0.653625579293255 -0.65376509042522 -0.0260590480328739 0.0480937904190616 -0.966457565630499 -0.9445645371261 -0.926966278211144 -0.967122556070381 0.0144664329060411 -0.000526818872875366 -0.635484688041056 -0.55721186773783 -0.796066240234604 -0.639216307122287 -0.0743565308442815 0.0866875497119062 -0.699262195705865 -0.76302218170088 -0.709483440322581 -0.705598279982991 -0.0401923943695015 -0.0521178264170088 -0.689328428607038 -0.842659862111437 -0.743028500565982 -0.686669637002933 -0.591224780306452 -0.652045644296188 -0.591224780306452 -0.652045644296188 -0.607658214170381 -0.633860084917302 -0.674010290979472 -0.645531109300293 -0.80366136372434 -0.812506863431085 -0.501779938505279 -0.699656828592375 -0.623805015199413 -0.502753639795894 -0.657443765803519 -0.603619251964692 0.0389282523284457 0.00447261449052786 -0.195556895258944 -0.582949919157742 -0.780101644193548 -0.657844055881525 -0.559851186088408 -0.81080601659824 -0.583879131818798 -0.236874240885924 -0.193657539305073 -0.361445666092082 -0.775144985073314 -0.670734708996481 -0.719276622702346 -0.758505287214076 -0.751008875659824 -0.662352054780059 -0.167675025582991 -0.0321862688221114 -0.197470789787478 -0.663079838985044 -0.589603924234604 -0.395128523371261 -0.615643694857361 -0.589736894348387 -0.252698688125806 -0.703839403007038 -0.684777275540469 -0.263695423252786 -0.810032718739003 -0.801701772404692 -0.18267717695915
4 NA -0.0148081545344921 -0.107521430810726 -0.605211727785489 -0.509929384011325 -0.709492735962145 -0.635360700063407 0.112591195496986 0.164130896618297 -0.962636979274448 -0.941416800167192 -0.941403426072555 -0.963924663123028 0.00351340949514196 -0.00737375142832808 -0.631853083289621 -0.584063204701893 -0.843353231167192 -0.627203745080776 -0.0787229907785489 0.0957174866009464 -0.701397703369085 -0.79823574873817 -0.726374197066246 -0.706845367429022 -0.0400427574662461 -0.0578089304000631 -0.723788617823344 -0.902502592618297 -0.748369141315457 -0.716356850794953 -0.606556049548896 -0.645659872741325 -0.606556049548896 -0.645659872741325 -0.647249966810726 -0.661833710495268 -0.706738493542587 -0.675907856583281 -0.844187064164038 -0.852586556529969 -0.52583456615142 -0.755235428895899 -0.597551324155678 -0.534661524341987 -0.708764043722397 -0.608416573350473 0.0847707537883281 -0.0164096855119621 -0.00952523896750789 -0.601696223759495 -0.825154871135647 -0.644622004704416 -0.593855151524606 -0.860544668359621 -0.587195880386751 -0.180584111376656 -0.110565549338486 -0.270710279393691 -0.831527531009464 -0.689308946422713 -0.721749187328076 -0.782885735867508 -0.7670895729653 -0.667310013201893 -0.375332544565931 0.0241889403249211 -0.136616947077918 -0.672948341687697 -0.618278474774763 -0.303683235587413 -0.666506718936908 -0.637585714595899 -0.252620516124858 -0.732586304826498 -0.72346668192429 -0.187309635111546 -0.863096864037855 -0.845168205552051 -0.315185867592429
5 NA -0.0154833455336192 -0.105661736816887 -0.507691011391722 -0.402724906078146 -0.646443640175497 -0.537623406579801 0.112313109736755 0.0921607197449904 -0.964629108807947 -0.939973777950331 -0.94207867884106 -0.965895466821192 0.0017656830384106 -0.0029537113427351 -0.575890535679801 -0.506544358609603 -0.78456199486755 -0.55995052401457 -0.0774316445596026 0.0866267116745033 -0.709955676983444 -0.705638306688742 -0.606589817380795 -0.713554046655629 -0.0490624519374172 -0.0506258160122517 -0.662581310334437 -0.774114270364238 -0.564680771249007 -0.656131212417219 -0.52162345171192 -0.572049671146642 -0.52162345171192 -0.572049671146642 -0.589031268133113 -0.610037673958278 -0.664078383532781 -0.63494621060596 -0.734187493344371 -0.745123471092715 -0.440232431795033 -0.696171811490066 -0.492829885748675 -0.422162171100331 -0.649351210748344 -0.502468502183311 0.0748636861897351 0.0062663175707947 -0.102767771618377 -0.550991969857417 -0.768762357980132 -0.584013626983444 -0.491500434303907 -0.798835563807947 -0.522800347064238 -0.27429092242043 -0.163706246351656 -0.245687115843709 -0.71706218781457 -0.537329127293278 -0.73573857718543 -0.702290390960265 -0.669353687483444 -0.662476834271523 -0.0720666007195695 0.0744028987918874 -0.243947205606623 -0.594259529756954 -0.530359604190397 -0.346153520669205 -0.613485123609272 -0.575032361420364 -0.262184771960927 -0.715731148145695 -0.680898284470199 -0.335159516929801 -0.735610602483444 -0.73062335244702 -0.114361082909272
6 NA -0.0175697042641846 -0.11599454136 -0.505086085072062 -0.368403670137262 -0.672512004586708 -0.540118251305108 0.0162055455953846 0.0475199990906462 -0.958898709015385 -0.9509348864 -0.937910223507692 -0.959667484707692 0.000479281129661539 -0.00225896302076923 -0.531468310262154 -0.454437496885815 -0.738955207627692 -0.532482808216954 -0.0706129097498462 0.0973130293888923 -0.653800660041538 -0.626252072652308 -0.599910232855692 -0.665463347286154 -0.0454921005615385 -0.0533610323667692 -0.546009968372308 -0.677635980501539 -0.526908306306892 -0.546114770441969 -0.483790606354154 -0.542147394119077 -0.483790606354154 -0.542147394119077 -0.502935062310769 -0.532532133202462 -0.579837818063692 -0.547396504488923 -0.644474485460492 -0.665048596243385 -0.392041410138769 -0.683725945015385 -0.506680276530492 -0.396677793847908 -0.694365207233846 -0.468783998490615 0.0590114878605846 0.113046089288708 -0.269377966614769 -0.503558973703692 -0.720867157741538 -0.555346159400332 -0.437837459287385 -0.755751144098462 -0.468662866097846 -0.305422668448923 -0.1006823905788 -0.303575520380308 -0.621188724858462 -0.507604207506462 -0.692862440004 -0.633236229753846 -0.67302031484 -0.588660757031077 -0.0427900206246154 0.101044783556 -0.376126692672615 -0.570910289993846 -0.503922525747705 -0.313451543906154 -0.516711262173969 -0.471746342700985 -0.264206300430769 -0.657368673849846 -0.604937543301785 -0.451367867843077 -0.660175875210246 -0.634492119176308 -0.219280069710769
7 NA -0.0187904887668182 -0.112492375388312 -0.577518324748052 -0.546403365345779 -0.456473642256981 -0.602693080815584 -0.0420221452496753 0.0342160711928604 -0.956538178587662 -0.955312554090909 -0.923304724090909 -0.957590645532468 0.00760909767418831 -0.00791725696048701 -0.615131377408279 -0.622997416262013 -0.664336860544416 -0.626469403107792 -0.0646077113078896 0.0977671721406169 -0.687155474097403 -0.652408657909091 -0.663340760331169 -0.697234094308442 -0.0414401406082792 -0.0610307928148701 -0.701731200484416 -0.674920114957468 -0.750808705594156 -0.715075875415909 -0.510669879158539 -0.590530558762468 -0.510669879158539 -0.590530558762468 -0.550560230585714 -0.580196879080195 -0.598670795839286 -0.572643633239708 -0.658017844948377 -0.706052265722078 -0.563547785174026 -0.531005941495552 -0.572347541484091 -0.567046977262987 -0.460792123277305 -0.5552864523575 -0.0300713296399351 0.0146620852844481 -0.034406363600974 -0.641687333850227 -0.642515716574286 -0.626785744584416 -0.62853163071948 -0.684856438953896 -0.570839180123247 -0.239501714015909 -0.220260861049058 -0.250406541242857 -0.630419275006169 -0.655083354905844 -0.703883646896104 -0.671161922837662 -0.698949518905844 -0.663726742875974 -0.103884514547565 -0.0863412384825 -0.078714995595 -0.583819796092208 -0.523421876136364 -0.227779791430519 -0.550683254908442 -0.538697542041818 -0.199255572314968 -0.650923648207792 -0.642430712987013 -0.175918806325552 -0.668963362464935 -0.639466417209091 -0.252253318133117
8 NA -0.0181894974688612 -0.106809623683986 -0.582958863017438 -0.349383732046263 -0.499472687913167 -0.608402968452313 0.0303211113118861 0.0836542406807936 -0.954256666035587 -0.94844645047331 -0.923180663601423 -0.954899550320285 0.000860301581786477 -0.0196719912994306 -0.575993073911744 -0.458724925167972 -0.66835678475516 -0.555331522209609 -0.091077509832669 0.0640867611561922 -0.656219242281851 -0.570941237019217 -0.511392038012811 -0.663011050071174 -0.0400922240331673 -0.0582887148366548 -0.674984452240214 -0.683086930288968 -0.695970301754448 -0.661158028429537 -0.554038979266192 -0.607399305545907 -0.554038979266192 -0.607399305545907 -0.564471999961566 -0.585777269087544 -0.581422885341281 -0.535807834679359 -0.715838385516014 -0.72999183041637 -0.374944236206406 -0.550979388719929 -0.585343460535587 -0.378656458967972 -0.513206312959075 -0.562216802679715 0.0263297524124555 0.0913951982033452 -0.0791700420883274 -0.495906215569395 -0.644285802406762 -0.598546245236655 -0.45636839585694 -0.691480916950178 -0.519504841340925 -0.169061574411388 -0.0826086104950178 -0.372302097228114 -0.575938482711388 -0.525562919047438 -0.675275353078292 -0.573087292172598 -0.553968587869751 -0.609404326397865 -0.153879695796192 -0.0430258806635231 -0.128345077490712 -0.651638076286121 -0.566755608349929 -0.384178438546975 -0.618027414911032 -0.55081206899395 -0.46724114513879 -0.636673891144128 -0.609230315030605 -0.224005505061566 -0.755717299964413 -0.715665866366548 -0.441251328412811
9 NA -0.0209466555412396 -0.101233826213889 -0.555656544538194 -0.5758878952125 -0.506111776081806 -0.585175212755556 -0.0467446999509028 0.104353653032743 -0.958784666180556 -0.949938115208333 -0.920554317815972 -0.959551425659722 0.00678485848399306 -0.00102998088194444 -0.578305161360069 -0.678923872274306 -0.721610094569444 -0.569240277178819 -0.0729884312991667 0.109092913237986 -0.676452392569444 -0.670498220701389 -0.587557692291458 -0.679911399142361 -0.0397344421815972 -0.053402884281875 -0.7617108665625 -0.773273878854167 -0.744656038298611 -0.763637090416667 -0.553038255314792 -0.613478004021181 -0.553038255314792 -0.613478004021181 -0.608862145384722 -0.621701021226389 -0.663198385034722 -0.626993022752778 -0.786176892048611 -0.796943696597222 -0.610267804090278 -0.592119122804271 -0.547995744907986 -0.586766083232639 -0.501074006965903 -0.525030816985764 -0.0879003298041667 -0.0304334227664236 -0.164120877140347 -0.699766614569444 -0.702931927996528 -0.572819893733993 -0.679065855003472 -0.739139922708333 -0.529769987404872 -0.296107744084757 -0.290292303180208 -0.177773044624653 -0.683924287600694 -0.612680463163889 -0.690689895534722 -0.667203220760417 -0.619468634127778 -0.654160075035764 -0.240880440259861 -0.196153280691528 -0.134612422201111 -0.624456827182986 -0.546123064347222 -0.364914343006944 -0.611619343190972 -0.600411224546875 -0.146344677105556 -0.697729432621528 -0.675545226197917 -0.266755634021597 -0.801296292638889 -0.787482755083333 -0.207821013440625
10 NA -0.017835790552415 -0.111301532185714 -0.537807711163265 -0.497405885644898 -0.614776952226361 -0.567943191105442 -0.0740248544557823 0.0552047227876769 -0.965808126428571 -0.95452407255102 -0.938706428064626 -0.966520191632653 0.0129143257457823 -0.0113556967940476 -0.52938321427551 -0.540236619204728 -0.750729260772109 -0.52608240587449 -0.0846403674590918 0.0910265011879252 -0.67390558227449 -0.591333155194558 -0.598142328621088 -0.679430722994898 -0.0424219983671769 -0.0555521277515646 -0.703243499727891 -0.768641779047619 -0.686800252738095 -0.695726222857143 -0.545348810631551 -0.596591539034354 -0.545348810631551 -0.596591539034354 -0.529340480130272 -0.562573002243503 -0.624408369413333 -0.584155711638435 -0.768821828979592 -0.779985050238095 -0.494651474235034 -0.655062273211565 -0.541170169070068 -0.532135172812313 -0.625871772082993 -0.509995745007619 0.0948129948809524 0.150687015615519 -0.230920276113673 -0.555104553563503 -0.721689700769728 -0.553403478735408 -0.556271725483333 -0.77916817122449 -0.468300214776871 -0.148940675963605 0.0112385060119048 -0.297103139813605 -0.64835059542517 -0.567456661721769 -0.692654261914966 -0.565943677806122 -0.645947720476871 -0.638160579979592 -0.0881515905938775 -0.0500743540119048 -0.204940292216667 -0.633196110969728 -0.560493254793197 -0.418343802270748 -0.553027359614864 -0.511921598962585 -0.334668004747367 -0.666014612598639 -0.634437160237415 -0.337144436592857 -0.787144257176871 -0.763009066836735 -0.345872702452286
